Date,VIX,SPY
1993-11-12,13.33,26.1022
1993-11-15,14.46,26.0847
1993-11-16,15.11,26.2072
1993-11-17,15.57,26.0672
1993-11-18,14.65,25.9971
1993-11-19,15.03,25.9446
1993-11-22,15.9,25.7871
1993-11-23,14.27,25.9271
1993-11-24,13.51,26.0321
1993-11-26,13.77,26.0497
1993-11-29,14.12,25.9446
1993-11-30,13.76,25.9621
1993-12-01,13.83,25.9971
1993-12-02,13.51,26.0672
1993-12-03,12.69,26.1722
1993-12-06,12.84,26.2597
1993-12-07,12.41,26.2422
1993-12-08,12.46,26.2422
1993-12-09,12.43,26.1547
1993-12-10,12.6,26.1022
1993-12-13,10.98,26.2597
1993-12-14,11.13,26.0672
1993-12-15,11.03,26.0321
1993-12-16,10.9,26.1197
1993-12-17,11.08,26.2632
1993-12-20,10.75,26.2985
1993-12-21,10.08,26.2103
1993-12-22,9.31,26.3866
1993-12-23,9.48,26.369
1993-12-27,9.7,26.51
1993-12-28,9.82,26.5629
1993-12-29,10.46,26.5276
1993-12-30,10.69,26.4219
1993-12-31,11.66,26.2809
1994-01-03,12.57,26.2103
1994-01-04,11.91,26.3161
1994-01-05,10.94,26.369
1994-01-06,11.27,26.369
1994-01-07,10.96,26.5276
1994-01-10,10.74,26.8449
1994-01-11,11.29,26.792
1994-01-12,11.65,26.7039
1994-01-13,12.08,26.6334
1994-01-14,11.15,26.7391
1994-01-17,11.88,26.7391
1994-01-18,11.63,26.7744
1994-01-19,11.76,26.7039
1994-01-20,11.16,26.7744
1994-01-21,11.09,26.7215
1994-01-24,11.6,26.6158
1994-01-25,11.38,26.6158
1994-01-26,11.17,26.6863
1994-01-27,10.3,26.933
1994-01-28,9.94,27.0035
1994-01-31,10.63,27.1974
1994-02-01,10.65,27.0564
1994-02-02,10.61,27.2327
1994-02-03,10.75,27.1093
1994-02-04,15.25,26.4924
1994-02-07,13.96,26.6158
1994-02-08,13.66,26.6334
1994-02-09,13.3,26.7391
1994-02-10,14.24,26.51
1994-02-11,14.46,26.5981
1994-02-14,14.28,26.6334
1994-02-15,13.4,26.7744
1994-02-16,13.13,26.7568
1994-02-17,13.79,26.5981
